AC	Acrelandia
AC	Assis Brasil
AC	Brasileia
AC	Bujari
AC	Capixaba
AC	Cruzeiro do Sul
AC	Epitaciolandia
AC	Feijo
AC	Jordao
AC	Mancio Lima
AC	Manoel Urbano
AC	Marechal Thaumaturgo
AC	Placido de Castro
AC	Porto Acre
AC	Porto Walter
AC	Rio Branco
AC	Rodrigues Alves
AC	Santa Rosa
AC	Sena Madureira
AC	Senador Guiomard
AC	Tarauaca
AC	Xapuri
AL	Agua Branca
AL	Alazao
AL	Alecrim
AL	Anadia
AL	Anel
AL	Anum Novo
AL	Anum Velho
AL	Arapiraca
AL	Atalaia
AL	Baixa da Onca
AL	Baixa do Capim
AL	Balsamo
AL	Bananeiras
AL	Barra de Santo Antonio
AL	Barra de Sao Miguel
AL	Barra do Bonifacio
AL	Barra Grande
AL	Batalha
AL	Batingas
AL	Belem
AL	Belo Monte
AL	Boa Sorte
AL	Boa Vista
AL	Boca da Mata
AL	Bom Jardim
AL	Bonifacio
AL	Branquinha
AL	Cacimbinhas
AL	Cajarana
AL	Cajueiro
AL	Caldeiroes de Cima
AL	Camadanta
AL	Campestre
AL	Campo Alegre
AL	Campo Grande
AL	Canaa
AL	Canafistula
AL	Canapi
AL	Canastra
AL	Cangandu
AL	Capela
AL	Carneiros
AL	Carrasco
AL	Cha Preta
AL	Coite do Noia
AL	Colonia Leopoldina
AL	Coqueiro Seco
AL	Coruripe
AL	Coruripe da Cal
AL	Craibas
AL	Delmiro Gouveia
AL	Dois Riachos
AL	Entremontes
AL	Estrela de Alagoas
AL	Feira Grande
AL	Feliz Deserto
AL	Fernao Velho
AL	Flexeiras
AL	Floriano Peixoto
AL	Gaspar
AL	Girau do Ponciano
AL	Ibateguara
AL	Igaci
AL	Igreja Nova
AL	Inhapi
AL	Jacare dos Homens
AL	Jacuipe
AL	Japaratinga
AL	Jaramataia
AL	Jenipapo
AL	Joaquim Gomes
AL	Jundia
AL	Junqueiro
AL	Lagoa da Areia
AL	Lagoa da Canoa
AL	Lagoa da Pedra
AL	Lagoa Dantas
AL	Lagoa do Caldeirao
AL	Lagoa do Canto
AL	Lagoa do Exu
AL	Lagoa do Rancho
AL	Lajes do Caldeirao
AL	Laranjal
AL	Limoeiro de Anadia
AL	Maceio
AL	Major Isidoro
AL	Mar Vermelho
AL	Maragogi
AL	Maravilha
AL	Marechal Deodoro
AL	Maribondo
AL	Massaranduba
AL	Mata Grande
AL	Matriz de Camaragibe
AL	Messias
AL	Minador do Negrao
AL	Monteiropolis
AL	Moreira
AL	Munguba
AL	Murici
AL	Novo Lino
AL	Olho D Agua Grande
AL	Olho D'agua Das Flores
AL	Olho D'agua De Cima
AL	Olho D'agua Do Casado
AL	Olho D'agua Dos Dandanhas
AL	Olivenca
AL	Ouro Branco
AL	Palestina
AL	Palmeira de Fora
AL	Palmeira dos Indios
AL	Pao de Acucar
AL	Pariconha
AL	Paripueira
AL	Passo de Camaragibe
AL	Pau D'arco
AL	Pau Ferro
AL	Paulo Jacinto
AL	Penedo
AL	Piacabucu
AL	Pilar
AL	Pindoba
AL	Piranhas
AL	Pocao
AL	Poco da Pedra
AL	Poco das Trincheiras
AL	Porto Calvo
AL	Porto de Pedras
AL	Porto Real do Colegio
AL	Poxim
AL	Quebrangulo
AL	Riacho do Sertao
AL	Riacho Fundo de Cima
AL	Rio Largo
AL	Rocha Cavalcante
AL	Roteiro
AL	Santa Efigenia
AL	Santa Luzia do Norte
AL	Santana do Ipanema
AL	Santana do Mundau
AL	Santo Antonio
AL	Sao Bras
AL	Sao Jose da Laje
AL	Sao Jose da Tapera
AL	Sao Luis do Quitunde
AL	Sao Miguel dos Campos
AL	Sao Miguel dos Milagres
AL	Sao Sebastiao
AL	Sapucaia
AL	Satuba
AL	Senador Rui Palmeira
AL	Serra da Mandioca
AL	Serra do Sao Jose
AL	Taboleiro do Pinto
AL	Taboquinha
AL	Tanque D'arca
AL	Taquarana
AL	Tatuamunha
AL	Teotonio Vilela
AL	Traipu
AL	Uniao dos Palmares
AL	Usina Camacari
AL	Vicosa
AL	Vila Aparecida
AL	Vila Sao Francisco
AM	Alvaraes
AM	Amatari
AM	Amatura
AM	Anama
AM	Anori
AM	Apui
AM	Ariau
AM	Atalaia do Norte
AM	Augusto Montenegro
AM	Autazes
AM	Axinim
AM	Badajos
AM	Balbina
AM	Barcelos
AM	Barreirinha
AM	Benjamin Constant
AM	Beruri
AM	Boa Vista do Ramos
AM	Boca do Acre
AM	Borba
AM	Caapiranga
AM	Cameta
AM	Canuma
AM	Canutama
AM	Carauari
AM	Careiro
AM	Careiro da Varzea
AM	Carvoeiro
AM	Coari
AM	Codajas
AM	Cucui
AM	Eirunepe
AM	Envira
AM	Floriano Peixoto
AM	Fonte Boa
AM	Freguesia do Andira
AM	Guajara
AM	Humaita
AM	Iauarete
AM	Icana
AM	Ipixuna
AM	Iranduba
AM	Itacoatiara
AM	Itamarati
AM	Itapiranga
AM	Japura
AM	Jurua
AM	Jutai
AM	Labrea
AM	Lago Preto
AM	Manacapuru
AM	Manaquiri
AM	Manaus
AM	Manicore
AM	Maraa
AM	Massauari
AM	Maues
AM	Mocambo
AM	Moura
AM	Murutinga
AM	Nhamunda
AM	Nova Olinda do Norte
AM	Novo Airao
AM	Novo Aripuana
AM	Osorio da Fonseca
AM	Parintins
AM	Pauini
AM	Pedras
AM	Presidente Figueiredo
AM	Repartimento
AM	Rio Preto da Eva
AM	Santa Isabel do Rio Negro
AM	Santa Rita
AM	Santo Antonio do Ica
AM	Sao Felipe
AM	Sao Gabriel da Cachoeira
AM	Sao Paulo de Olivenca
AM	Sao Sebastiao do Uatuma
AM	Silves
AM	Tabatinga
AM	Tapaua
AM	Tefe
AM	Tonantins
AM	Uarini
AM	Urucara
AM	Urucurituba
AM	Vila Pitinga
AP	Abacate da Pedreira
AP	Agua Branca do Amapari
AP	Amapa
AP	Amapari
AP	Ambe
AP	Aporema
AP	Ariri
AP	Bailique
AP	Boca do Jari
AP	Calcoene
AP	Cantanzal
AP	Carmo
AP	Clevelandia do Norte
AP	Corre Agua
AP	Cunani
AP	Curiau
AP	Cutias
AP	Fazendinha
AP	Ferreira Gomes
AP	Fortaleza
AP	Gaivota
AP	Gurupora
AP	Igarape do Lago
AP	Ilha de Santana
AP	Inaja
AP	Itaubal
AP	Laranjal do Jari
AP	Livramento do Pacui
AP	Lourenco
AP	Macapa
AP	Mazagao
AP	Mazagao Velho
AP	Oiapoque
AP	Paredao
AP	Porto Grande
AP	Pracuuba
AP	Santa Luzia do Pacui
AP	Santa Maria
AP	Santana
AP	Sao Joaquim do Pacui
AP	Sao Sebastiao do Livramento
AP	Sao Tome
AP	Serra do Navio
AP	Sucuriju
AP	Tartarugalzinho
AP	Vila Velha
AP	Vitoria do Jari
BA	Abadia
BA	Abaira
BA	Abare
BA	Abelhas
BA	Abobora
BA	Abrantes
BA	Acajutiba
BA	Acu da Torre
BA	Acudina
BA	Acupe
BA	Adustina
BA	Afligidos
BA	Afranio Peixoto
BA	Agua Doce
BA	Agua Fria
BA	Aguas do Paulista
BA	Aiquara
BA	Alagoinhas
BA	Alcobaca
BA	Alegre
BA	Algodao
BA	Algodoes
BA	Almadina
BA	Alto Bonito
BA	Amado Bahia
BA	Amaniu
BA	Amargosa
BA	Amelia Rodrigues
BA	America Dourada
BA	Americo Alves
BA	Anage
BA	Andarai
BA	Andorinha
BA	Angical
BA	Angico
BA	Anguera
BA	Antas
BA	Antonio Cardoso
BA	Antonio Goncalves
BA	Apora
BA	Apuarema
BA	Aracas
BA	Aracatu
